safras,PlantioInicio,Plantiofim,CentroSul,MedioNorte,Nordeste,Noroeste,Norte,Oeste,Sudeste,ONI
2007/2008,,,3.009,3.144,2.948,3.035,2.931,2.948,3.087,
2008/2009,17/09,11/12,2.919,3.038,2.981,2.920,2.649,2.975,2.993,
2009/2010,24/09,10/12,2.958,3.077,2.936,2.893,2.968,2.863,2.990,
2010/2011,30/09,02/12,3.161,3.338,3.206,3.087,3.181,3.021,3.134,
2011/2012,29/09,01/12,3.081,3.023,3.032,2.899,2.674,3.083,3.004,
2012/2013,20/09,23/11,2.958,2.988,2.958,2.970,2.892,2.970,3.048,-0.82
2013/2014,19/09,05/12,3.118,3.122,3.100,3.120,3.082,3.116,3.116,-0.28
2014/2015,18/09,11/12,3.142,3.250,3.099,3.169,3.151,3.221,3.095,0.58
2015/2016,24/09,07/01,3.005,2.890,2.764,3.020,2.903,3.264,3.155,2.32
2016/2017,22/09,08/12,3.287,3.405,3.224,3.262,3.298,3.240,3.354,-0.38
2017/2018,28/09,08/12,3.400,3.484,3.321,3.463,3.470,3.496,3.411,-0.82
2018/2019,21/09,30/11,3.263,3.378,3.348,3.394,3.506,3.387,3.335,0.8
2019/2020,27/09,06/12,3.507,3.605,3.440,3.539,3.619,3.629,3.500,0.45
2020/2021,25/09,04/12,3.509,3.424,3.410,3.452,3.557,3.492,3.434,-1.07
2021/2022,24/09,19/11,3.418,3.423,3.645,3.588,3.523,3.664,3.702,-0.95
2022/2023,23/09,25/11,3.665,3.751,3.775,3.687,3.754,3.632,3.782,-0.65
2023/2024,22/09,08/12,3.478,3.484,3.498,3.526,3.566,3.584,3.545,1.38
2024/2025,20/09,22/11,3.834,4.131,3.822,4.124,4.007,4.089,3.826,-0.92
