REGIAO,Nome_3,lat,long
Norte,Nova Guarita,-10.29325123,-55.33766356
Noroeste,Juruena,-10.34431757,-58.61130594
Norte,Colíder,-10.63043737,-55.46759117
Nordeste,Confresa,-10.403558,-51.69912896
Nordeste,São José do Xingu,-10.69619863,-52.61696237
Noroeste,Tabaporã,-11.21347865,-56.49582631
Noroeste,Castanheira,-10.93960791,-58.60316999
Norte,Marcelândia,-10.88618723,-54.05255312
Nordeste,Porto Alegre do Norte,-10.82576869,-51.71260178
Noroeste,Juína,-11.53150166,-59.32417012
Nordeste,Luciára,-11.01459051,-50.9457694
Nordeste,Canabrava do Norte,-11.20148405,-51.82350189
MedioNorte,União do Sul,-11.52745693,-54.3155859
MedioNorte,Cláudia,-11.44835895,-55.04819011
Noroeste,Novo Horizonte do Norte,-11.38311517,-57.30726513
MedioNorte,Sinop,-11.7112968,-55.50152923
MedioNorte,Santa Carmem,-11.93435229,-54.89921129
Nordeste,Alto Boa Vista,-11.81273739,-51.75144135
Nordeste,Serra Nova dourada,-12.02233045,-51.36128587
Nordeste,Bom Jesus do Araguaia,-12.22115561,-51.73814367
Nordeste,Novo Santo Antônio,-12.31494246,-50.88793911
MedioNorte,Itanhangá,-12.1401524,-56.75471858
MedioNorte,Vera,-12.42166572,-55.34562954
MedioNorte,Tapurah,-12.56801668,-56.53107256
Oeste,Campos de Júlio,-13.57985031,-59.19240755
Nordeste,Canarana,-13.32956413,-52.39892841
MedioNorte,Nova Mutum,-13.62910245,-56.10618045
MedioNorte,Lucas do Rio Verde,-13.03712334,-56.16676295
Nordeste,Nova Nazaré,-14.15568015,-51.8891728
Nordeste,Campinápolis,-14.36705479,-53.13388756
Nordeste,Água Boa,-13.97731517,-52.50012734
Oeste,Nova Lacerda,-14.30128555,-59.77054322
CentroSul,Nobres,-14.37684213,-55.81153167
MedioNorte,Ipiranga do Norte,-12.01647818,-56.05758437
CentroSul,Rosário Oeste,-14.75201051,-55.90013613
Norte,Itaúba,-11.11347972,-55.59852359
Oeste,Vale de São domingos,-14.96403256,-58.96185071
Nordeste,Nova Xavantina,-14.60191393,-52.41656879
Oeste,Araputanga,-15.25754741,-58.45816152
CentroSul,Barra do Bugres,-15.06774344,-57.56057041
Oeste,Salto do Céu,-15.04988731,-58.04952048
CentroSul,Várzea Grande,-15.57249673,-56.25303404
CentroSul,Nossa Senhora do Livramento,-15.83274449,-56.49960694
CentroSul,Acorizal,-15.17965419,-56.32091405
Sudeste,Santo Antônio do Leste,-14.85094954,-53.64274181
MedioNorte,Feliz Natal,-11.93252547,-54.1827526
Norte,Matupá,-10.01593504,-54.35512731
CentroSul,Nova Marilândia,-14.29573597,-57.25746312
CentroSul,Nortelândia,-14.34877907,-56.71948778
Oeste,Conquista D'Oeste,-14.63433045,-59.33161455
Sudeste,Planalto da Sera,-14.58961442,-54.67279638
CentroSul,Alto Paraguai,-14.76345668,-56.6619801
CentroSul,Santo Afonso,-14.4555445,-57.32566129
CentroSul,Arenápolis,-14.50689539,-56.85851564
CentroSul,Denise,-14.73097688,-56.9604834
Sudeste,Araguaiana,-15.13197356,-51.81152701
Sudeste,Nova Brasilândia,-14.78706778,-55.05171646
Oeste,Pontes e Lacerda,-15.50860391,-59.46988775
Sudeste,Primavera do Leste,-15.09692822,-54.22009871
CentroSul,Nova Olímpia,-14.80479289,-57.42416437
Sudeste,Campo Verde,-15.34496952,-54.95823019
Oeste,Reserva do Cabaçal,-14.93033986,-58.45870669
Oeste,Jauru,-15.30315185,-58.86638475
Oeste,Lambari D'Oeste,-15.37502935,-57.78279269
Oeste,Indiavaí,-15.33279207,-58.59786705
CentroSul,Porto Estrela,-15.52134301,-57.2149834
Sudeste,Dom Aquino,-15.65639656,-54.77548179
CentroSul,Jangada,-15.33911421,-56.56993645
Oeste,São José dos Quatro Marcos,-15.56665998,-58.29597642
Oeste,Figueirópolis D'Oeste,-15.52431622,-58.7042159
Oeste,Porto Esperidião,-15.95631627,-58.98149071
CentroSul,Cáceres,-16.53551671,-57.83367562
Oeste,Mirassol D'Oeste,-15.65443558,-58.05432312
Oeste,Glória D'Oeste,-15.83971707,-58.32147691
Oeste,Curvelândia,-15.6171663,-57.87567408
Sudeste,Jaciara,-15.90516606,-55.11228301
Sudeste,São Pedro da Cipa,-15.96000621,-54.7561376
Sudeste,Juscimeira,-16.18332004,-54.90222787
Sudeste,Torixoréu,-16.29455278,-52.88919594
Sudeste,Rondonópolis,-16.54184687,-54.65736266
Sudeste,São José do Povo,-16.46839241,-54.26540643
CentroSul,Poconé,-16.78085299,-56.94357266
Sudeste,Ponte Branca,-16.6588014,-52.9359689
Sudeste,Ribeirãozinho,-16.49370006,-52.75933045
Sudeste,Pedra Preta,-16.79664682,-54.25003581
Sudeste,Araguainha,-16.75054248,-53.12078645
Norte,Paranaíta,-9.5939917,-56.68217026
Norte,Nova Bandeirantes,-9.76662639,-58.07821871
Norte,Alta Floresta,-10.05556747,-56.36673221
Norte,Novo Mundo,-9.75154649,-55.40326212
Norte,Guarantã do Norte,-9.77516011,-54.61925444
Norte,Nova Monte Verde,-9.97094237,-57.2441816
Noroeste,Rondolândia,-10.46179576,-61.00971692
Nordeste,Santa Cruz do Xingu,-10.06544085,-52.54342596
Nordeste,Santa Terezinha,-10.33165983,-50.79175497
Nordeste,Vila Rica,-9.9801063,-51.40685572
Sudeste,Poxoréo,-15.85138072,-54.185221
Sudeste,Alto Garças,-16.88857562,-53.57961723
Sudeste,General Carneiro,-15.55767841,-53.39236758
Sudeste,Alto Araguaia,-17.44979473,-53.46664529
Sudeste,Alto Taquari,-17.82721667,-53.29617873
CentroSul,Santo Antônio do Leverger,-16.47219759,-55.41880235
Nordeste,Gaúcha do Norte,-12.99519969,-53.4557129
Nordeste,Querência,-12.15814044,-52.74395989
Oeste,Sapezal,-13.15313934,-58.65312858
Oeste,Comodoro,-13.19005359,-59.75233725
Oeste,Vila Bela da Santíssima Trindade,-15.17726338,-60.00771903
CentroSul,Diamantino,-14.09660794,-56.80895781
Sudeste,Barra do Garças,-15.36173935,-52.49853084
Sudeste,Novo São Joaquim,-15.08035441,-53.215249
Nordeste,Cocalinho,-13.87660505,-51.14950515
Nordeste,Ribeirão Cascalheira,-12.87455751,-51.56788924
Norte,Peixoto de Azevedo,-10.14674813,-53.58183427
Norte,Terra Nova do Norte,-10.51828753,-54.97716735
Norte,Nova Canaã do Norte,-10.69973597,-56.03961992
Noroeste,Aripuanã,-10.18284648,-59.84942383
MedioNorte,Sorriso,-12.66663267,-55.7226825
Sudeste,Itiquira,-17.33422451,-54.59636304
Sudeste,Tesouro,-15.90490302,-53.45478808
Sudeste,Guiratinga,-16.38464887,-53.58872795
Sudeste,Pontal do Araguaia,-15.93198511,-52.72129556
Oeste,Rio Branco,-15.26868397,-58.1542132
Oeste,Campo Novo do Parecis,-13.68729147,-57.92981872
CentroSul,Tangará da Serra,-14.43013259,-58.29698697
CentroSul,Chapada dos Guimarães,-15.15277669,-55.54620368
CentroSul,Cuiabá,-15.45390059,-55.96022104
Noroeste,Brasnorte,-12.42148605,-57.99973245
MedioNorte,Nova Maringá,-12.78284419,-57.22009254
MedioNorte,São José do Rio Claro,-13.55067803,-56.80759173
MedioNorte,Nova Ubiratã,-12.79638056,-54.7139896
Nordeste,São Félix do Araguaia,-11.38040533,-52.6446809
Noroeste,Juara,-11.02385294,-57.61838904
Noroeste,Porto dos Gaúchos,-11.73431044,-56.7469804
Noroeste,Colniza,-9.2932991,-60.30398546
MedioNorte,Santa Rita do Trivelato,-13.83283108,-55.29386282
Sudeste,Paranatinga,-13.67570829,-54.10553614
Norte,Nova Santa Helena,-10.93213139,-54.90855341
Norte,Apiacás,-8.75945718,-57.82614763
Noroeste,Cotriguaçu,-9.51186049,-58.68074712
CentroSul,Barão de Melgaço,-16.81019227,-56.02874105
Norte,Carlinda,-10.10611974,-55.83303592
MedioNorte,Boa Esperança do Norte,-13.46317973,-54.94175117
